"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,097741,CME ,00,097 ,  223952,   39297,   15437,       6,   52052,   72161,    5424,   25130,   77511,    4530,   56907,    6665,     338,  183684,  182072,   40268,   41880,   11496,   13281,   -1233,       0,   -1030,    9500,    -993,    1073,     292,    -795,    -260,    2988,   -1056,   10220,    8703,    1276,    2793,  100.0,   17.5,    6.9,    0.0,   23.2,   32.2,    2.4,   11.2,   34.6,    2.0,   25.4,    3.0,    0.2,   82.0,   81.3,   18.0,   18.7,    132,     12,      6,.,     17,     26,      8,     21,     38,     11,      8,      4,.,     65,     88,    42.7,    20.5,    53.0,    33.3,    42.7,    20.5,    52.9,    33.3,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","FutOnly"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,097741,CME ,00,097 ,  212456,   26016,   16670,       6,   53082,   62661,    6417,   24057,   77219,    5325,   57167,    3677,    1394,  173464,  173369,   38992,   39087,    5485,    7422,   -1242,      -7,    -645,     404,      59,   -7614,    3230,    1483,     682,   -1483,     335,    1715,    2779,    3770,    2706,  100.0,   12.2,    7.8,    0.0,   25.0,   29.5,    3.0,   11.3,   36.3,    2.5,   26.9,    1.7,    0.7,   81.6,   81.6,   18.4,   18.4,    128,      9,      6,.,     18,     25,     10,     20,     38,     11,      8,      4,.,     64,     88,    40.3,    22.3,    51.1,    36.3,    40.3,    22.3,    50.8,    36.3,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","FutOnly"
"EURO FX - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,099741,CME ,00,099 ,  609492,   22173,  166474,    9978,  340273,  179395,   35705,   72504,  107738,   17688,   28942,   28476,    6669,  533932,  552123,   75560,   57369,    5267,  -11227,    2448,    1506,    7331,    4329,     953,    4141,    -424,    -981,     867,     890,    -201,    2389,    8520,    2878,   -3253,  100.0,    3.6,   27.3,    1.6,   55.8,   29.4,    5.9,   11.9,   17.7,    2.9,    4.7,    4.7,    1.1,   87.6,   90.6,   12.4,    9.4,    298,     11,     16,      8,     94,     51,     50,     46,     47,     18,     17,     16,      5,    199,    180,    18.3,    28.8,    27.4,    39.5,    16.3,    28.5,    25.2,    39.2,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 ","F10","FutOnly"
"EURO FX - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,099741,CME ,00,099 ,  604225,   33400,  164026,    8472,  332942,  175066,   34752,   68363,  108162,   18669,   28075,   27586,    6870,  531543,  543603,   72682,   60622,    1038,    3479,    5213,    1595,    -718,   -7331,     198,   -1132,   -2921,    2507,   -1034,   -1426,     110,    5005,   -2055,   -3967,    3093,  100.0,    5.5,   27.1,    1.4,   55.1,   29.0,    5.8,   11.3,   17.9,    3.1,    4.6,    4.6,    1.1,   88.0,   90.0,   12.0,   10.0,    287,     10,     16,      6,     92,     50,     50,     42,     45,     22,     16,     15,      5,    191,    179,    18.6,    29.4,    28.1,    39.7,    16.6,    29.1,    26.1,    39.4,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 ","F10","FutOnly"
"EURO FX - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,099741,CME ,00,099 ,  603187,   29921,  158813,    6877,  333660,  182397,   34554,   69495,  111083,   16162,   29109,   29012,    6760,  526538,  545658,   76649,   57529,   -5972,     -76,   -4103,     -37,   -3295,    -697,     438,  -11301,  -11553,    3244,    2083,    4381,    -198,   -9142,   -8525,    3170,    2553,  100.0,    5.0,   26.3,    1.1,   55.3,   30.2,    5.7,   11.5,   18.4,    2.7,    4.8,    4.8,    1.1,   87.3,   90.5,   12.7,    9.5,    284,     11,     15,      7,     91,     50,     45,     44,     42,     21,     18,     13,      5,    189,    173,    18.7,    29.2,    27.9,    39.9,    16.7,    28.9,    25.8,    39.6,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 ","F10","FutOnly"
"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,232741,CME ,00,232 ,  190211,   88124,   13032,     339,   43528,   86074,    7910,   10834,   47493,    1542,   13471,     855,     268,  166016,  157513,   24195,   32698,   -1809,    -245,     612,     102,   -4638,    -450,       1,    1625,    -755,   -1037,    1502,       0,       0,   -2690,   -1527,     881,    -282,  100.0,   46.3,    6.9,    0.2,   22.9,   45.3,    4.2,    5.7,   25.0,    0.8,    7.1,    0.4,    0.1,   87.3,   82.8,   12.7,   17.2,    105,     11,      4,.,     13,     21,      9,     16,     31,     10,      7,.,.,     58,     70,    45.3,    32.6,    62.5,    45.0,    45.3,    32.3,    62.4,    43.5,"(CONTRACTS OF AUD 100,000)","232741","CME ","232 ","F10","FutOnly"
"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,232741,CME ,00,232 ,  192020,   88369,   12420,     237,   48166,   86524,    7909,    9209,   48248,    2579,   11969,     855,     268,  168706,  159040,   23314,   32980,   -5744,     348,   -2882,     -15,    2968,   -1520,   -1348,   -6275,   -1024,     827,   -1920,     455,       0,   -5415,   -5507,    -329,    -237,  100.0,   46.0,    6.5,    0.1,   25.1,   45.1,    4.1,    4.8,   25.1,    1.3,    6.2,    0.4,    0.1,   87.9,   82.8,   12.1,   17.2,    104,     10,      4,.,     13,     22,      9,     17,     29,     12,      7,.,.,     56,     72,    44.6,    32.6,    61.7,    45.8,    44.6,    31.9,    61.6,    43.6,"(CONTRACTS OF AUD 100,000)","232741","CME ","232 ","F10","FutOnly"
"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,232741,CME ,00,232 ,  197764,   88021,   15302,     252,   45198,   88044,    9257,   15484,   49272,    1752,   13889,     400,     268,  174121,  164547,   23643,   33217,   14892,    1236,   13785,      33,   17484,    3484,    -932,   -2561,   -2003,     331,    -283,   -1876,     268,   15576,   13090,    -684,    1802,  100.0,   44.5,    7.7,    0.1,   22.9,   44.5,    4.7,    7.8,   24.9,    0.9,    7.0,    0.2,    0.1,   88.0,   83.2,   12.0,   16.8,    108,     10,      4,.,     15,     21,     10,     21,     28,     11,      8,.,.,     62,     71,    41.3,    32.8,    58.9,    47.5,    41.3,    32.0,    58.5,    45.4,"(CONTRACTS OF AUD 100,000)","232741","CME ","232 ","F10","FutOnly"
"EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,299741,CME ,00,099 ,   31512,    1334,   15227,       0,   15128,    3875,     988,    1374,    5931,      10,       0,       0,       0,   18834,   26031,   12678,    5481,     308,       0,     -31,       0,     -91,    -921,       0,     827,    1971,       0,       0,       0,       0,     736,    1019,    -428,    -711,  100.0,    4.2,   48.3,    0.0,   48.0,   12.3,    3.1,    4.4,   18.8,    0.0,    0.0,    0.0,    0.0,   59.8,   82.6,   40.2,   17.4,     28,.,      4,      0,     13,.,      5,.,      5,.,      0,      0,      0,     18,     16,    27.2,    61.7,    41.0,    73.8,    26.8,    61.7,    39.4,    73.8,"(CONTRACTS OF EUR 125,000)","299741","CME ","099 ","F10","FutOnly"
"EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,299741,CME ,00,099 ,   31204,    1334,   15258,       0,   15219,    4796,     988,     547,    3960,      10,       0,       0,       0,   18098,   25012,   13106,    6192,      70,     478,    1362,       0,     -88,    -549,      -9,   -1018,    -115,       0,       0,       0,       0,    -637,     689,     707,    -619,  100.0,    4.3,   48.9,    0.0,   48.8,   15.4,    3.2,    1.8,   12.7,    0.0,    0.0,    0.0,    0.0,   58.0,   80.2,   42.0,   19.8,     27,.,      4,      0,     13,.,      5,.,      5,.,      0,      0,      0,     17,     16,    27.1,    60.2,    41.6,    71.7,    26.7,    60.2,    40.0,    71.7,"(CONTRACTS OF EUR 125,000)","299741","CME ","099 ","F10","FutOnly"
"EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,299741,CME ,00,099 ,   31134,     856,   13896,       0,   15307,    5345,     997,    1565,    4075,      10,       0,       0,       0,   18735,   24323,   12399,    6811,     401,       0,     678,       0,      31,      49,       0,     363,     -95,       0,       0,       0,       0,     394,     632,       7,    -231,  100.0,    2.7,   44.6,    0.0,   49.2,   17.2,    3.2,    5.0,   13.1,    0.0,    0.0,    0.0,    0.0,   60.2,   78.1,   39.8,   21.9,     27,.,.,      0,     13,.,      5,.,      5,.,      0,      0,      0,     18,     15,    27.3,    61.7,    42.1,    71.3,    26.8,    61.7,    40.5,    71.2,"(CONTRACTS OF EUR 125,000)","299741","CME ","099 ","F10","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,095741,CME ,00,095 ,  141724,   34698,    2403,      20,   44866,   41200,    9459,   43823,   60535,    4062,     910,   19280,       0,  137838,  136959,    3886,    4765,   -1136,    4851,    -200,       1,    1019,    -984,     262,   -6573,     964,     152,    -911,     -41,       0,   -1199,     154,      63,   -1290,  100.0,   24.5,    1.7,    0.0,   31.7,   29.1,    6.7,   30.9,   42.7,    2.9,    0.6,   13.6,    0.0,   97.3,   96.6,    2.7,    3.4,    150,      9,      4,.,     13,     29,      6,     40,     35,     15,      4,     15,      0,     72,    100,    33.2,    35.5,    54.0,    48.1,    31.0,    34.1,    49.0,    45.5,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,095741,CME ,00,095 ,  142860,   29847,    2603,      19,   43847,   42184,    9197,   50396,   59571,    3910,    1821,   19321,       0,  139037,  136805,    3823,    6055,    3709,    8824,    -385,      -4,   -3267,    2015,     259,   -2431,     669,     227,      16,     457,       0,    3624,    3238,      85,     471,  100.0,   20.9,    1.8,    0.0,   30.7,   29.5,    6.4,   35.3,   41.7,    2.7,    1.3,   13.5,    0.0,   97.3,   95.8,    2.7,    4.2,    150,      9,      5,.,     16,     24,      6,     36,     39,     15,      6,     14,      0,     75,     97,    30.7,    34.6,    53.1,    49.7,    28.3,    34.5,    48.4,    47.5,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,095741,CME ,00,095 ,  139151,   21023,    2988,      23,   47114,   40169,    8938,   52827,   58902,    3683,    1805,   18864,       0,  135413,  133567,    3738,    5584,    3505,    6760,    -459,       0,    1147,     758,     -35,   -5275,    3078,       4,     183,     314,       0,    2784,    3660,     721,    -155,  100.0,   15.1,    2.1,    0.0,   33.9,   28.9,    6.4,   38.0,   42.3,    2.6,    1.3,   13.6,    0.0,   97.3,   96.0,    2.7,    4.0,    148,      8,      5,.,     19,     23,      7,     35,     37,     12,      6,     14,      0,     77,     91,    32.7,    35.3,    58.1,    51.3,    31.1,    35.3,    53.2,    49.3,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,102741,CME ,00,102 ,   75156,   34713,    6990,       0,   27376,   35343,     202,    5795,   20087,     572,    4452,    8755,       0,   73110,   71949,    2046,    3207,   -1158,   -1290,    4202,   -2151,     298,   -9169,       0,    2061,     862,       0,     -11,    5195,       0,   -1093,   -1061,     -65,     -97,  100.0,   46.2,    9.3,    0.0,   36.4,   47.0,    0.3,    7.7,   26.7,    0.8,    5.9,   11.6,    0.0,   97.3,   95.7,    2.7,    4.3,     98,      6,      4,      0,      5,     15,.,     14,     30,.,     11,     13,      0,     38,     62,    68.4,    46.2,    82.0,    63.3,    68.4,    46.2,    82.0,    63.3,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,102741,CME ,00,102 ,   76314,   36003,    2788,    2151,   27078,   44512,     202,    3734,   19225,     572,    4463,    3560,       0,   74203,   73010,    2111,    3304,    1207,   -1698,       0,    2133,    1242,   -6188,       0,    -179,    4592,     554,    -599,      59,       0,    1453,    1150,    -246,      57,  100.0,   47.2,    3.7,    2.8,   35.5,   58.3,    0.3,    4.9,   25.2,    0.7,    5.8,    4.7,    0.0,   97.2,   95.7,    2.8,    4.3,     96,      7,.,.,      5,     14,.,     10,     33,.,     11,     14,      0,     35,     64,    67.0,    52.0,    81.8,    64.8,    67.0,    52.0,    80.0,    64.8,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,102741,CME ,00,102 ,   75107,   37701,    2788,      18,   25836,   50700,     202,    3913,   14633,      18,    5062,    3501,       0,   72750,   71860,    2357,    3247,  -18926,    6346,     423,  -16982,     653,     419,     187,   -4548,    -556,   -1348,   -2154,    -453,       0,  -17846,  -18310,   -1080,    -616,  100.0,   50.2,    3.7,    0.0,   34.4,   67.5,    0.3,    5.2,   19.5,    0.0,    6.7,    4.7,    0.0,   96.9,   95.7,    3.1,    4.3,     91,      6,.,.,      5,     14,.,     10,     28,.,     11,     15,      0,     35,     59,    66.4,    61.4,    81.2,    72.6,    66.4,    61.4,    81.2,    72.6,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
